SI No,District code,District name,Mandal code,Mandal Name,Village Name,School Id,School Name,Area,School Category,School Managments,School Type,Lower Class,Higer Class,Medium1,Medium2,Medium3,Medium4
104,2820,KADAPA,282031,CUDDAPAH,AKKAYAPALLE,28203190116,ST.J HS MARIAPURAM (G),Urban,Upper Pr. and Secondary,Pvt.Aided,Girls,6,10,Telugu,None,None,None
105,2820,KADAPA,282031,CUDDAPAH,CUDDAPAH (M)-3,28203191519,HAZARAT AYESHA HS AMPR,Urban,Pr. Up Pr. and Secondary Only,Pvt.Unaided,Girls,6,10,English,None,None,None
106,2820,KADAPA,282034,VEMPALLI,VEMPALLE,28203400726,ZPHS (GIRLS) VEMPALLI,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Girls,6,10,Telugu,English,None,None
107,2820,KADAPA,282034,VEMPALLI,VEMPALLE,28203400739,APR SCHOOL (EM ) MINORITY GIRLS SCHOOL VEMPALLI,Rural,Pr. Up Pr. and Secondary Only,APREI Society Schools,Girls,5,10,English,None,None,None
108,2820,KADAPA,282034,VEMPALLI,VEMPALLE,28203400769,MADARASA VEMPALLI,Rural,Primary with Upper Primary,Madarsa unrecognized,Girls,1,8,Urdu,None,None,None
109,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991607,KGBV HS RAYACHOTY,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,Telugu,English,None,None
110,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991610,APTWRS (G) RAYACHOTY,Urban,Pr. Up Pr. and Secondary Only,APTWREI Society Schools,Girls,5,10,English,None,None,None
111,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991625,ISLAHUL BANATH MADARASA RTY,Urban,Primary with Upper Primary,Madarsa unrecognized,Girls,1,8,Urdu,None,None,None
112,2820,KADAPA,282051,S.V.KASINAYAN,NARASAPURAM,28205102809,KGBVS VARIKUNTLA,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,Telugu,English,None,None
113,2820,KADAPA,282007,B.MATTAM,SOMIREDDIPALLE,28200700618,ZPHS K.M.PALLE(G),Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Girls,6,10,Telugu,None,None,None
114,2820,KADAPA,282007,B.MATTAM,SOMIREDDIPALLE,28200700624,KGBV SCHOOL K.M.PALLE,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,Telugu,English,None,None
115,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001222,OLF HS PORUMAMILLA (M),Rural,Upper Pr. and Secondary,Pvt.Aided,Girls,6,10,Telugu,None,None,None
116,2820,KADAPA,282020,PULIVENDLA,"PAULREDDY MEMORIAL,PDL",28202001494,GOVT ST RESIDENTIAL SCHOOL FOR BOYS,Urban,Pr. Up Pr. and Secondary Only,APTWREI Society Schools,Boys,1,10,English,None,None,None
117,2820,KADAPA,282031,CUDDAPAH,CUDDAPAH (M)-3,28203191541,GOVT CHILDREN HOME KADAPA,Urban,Primary with Upper Primary,Boarstal or Juvenille Schools,Boys,1,7,Telugu,None,None,None
118,2820,KADAPA,282034,VEMPALLI,VEMPALLE,28203400725,ZPHS (BOYS) VEMPALLI,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Boys,6,10,Telugu,English,None,None
119,2820,KADAPA,282034,VEMPALLI,VEMPALLE,28203400774,MADARASA DARUL ULOOM RAHAMANIA,Rural,Primary with Upper Primary,Madarsa unrecognized,Boys,1,8,Urdu,None,None,None
120,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991691,GOVT ST RESIDENTIAL SCHOOL FOR BOYS,Urban,Pr. Up Pr. and Secondary Only,APTWREI Society Schools,Boys,3,10,English,None,None,None
121,2820,KADAPA,282007,B.MATTAM,SOMIREDDIPALLE,28200700616,APSWRS HS K.M.PALLE,Rural,Pr. Up Pr. and Secondary Only,APSWREI Society Schools,Boys,1,10,English,None,None,None
122,2820,KADAPA,282007,B.MATTAM,SOMIREDDIPALLE,28200700631,APSWR SCHOOL NEW,Rural,Upper Pr. and Secondary,APSWREI Society Schools,Boys,6,10,English,None,None,None
123,2820,KADAPA,282035,CHAKRAYAPET,KONDAPPAGARIPALLE,28203501002,APSWRS CK PETA (B),Rural,Pr. with Up.Pr. sec. and H.Sec.,APSWREI Society Schools,Boys,5,12,English,None,None,None
124,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001239,KGBV PORUMAMILLA,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,English,Telugu,None,None
125,2820,KADAPA,282027,CHENNUR,CHENNUR,28202700317,ZPHS GIRLS CHENNUR,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Girls,6,10,Telugu,English,None,None
126,2820,KADAPA,282031,CUDDAPAH,CUDDAPAH (M),28203190462,HAZRATH AYISHA PS AYESHA NAGAR,Urban,Primary,Pvt.Unaided,Girls,1,5,English,None,None,None
127,2820,KADAPA,282042,CHITVEL,CHITVEL,28204200730,KGBV CHITVEL,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,English,Telugu,None,None
128,2820,KADAPA,282048,CHINNAMANDEM,TSAKIBANDA,28204800312,JAMIA UMMUL MOMINEEN SALAFIA,Rural,Primary,Madarsa unrecognized,Girls,1,5,Urdu,Telugu,None,None
